1706162520000;6402;4143;4675;15220
1706162640000;6660;4180;4689;15529
1706162760000;6785;4714;4690;16189
1706162880000;6888;4927;5586;17401
1706163000000;6828;4349;4677;15854
1706163120000;6616;4782;4667;16065
1706163240000;6516;4219;4721;15456
1706163360000;6825;4223;4749;15797
1706163480000;6590;4706;4758;16054
1706163600000;6605;4792;4695;16092
1706163720000;7010;4161;4730;15901
1706163840000;6822;4139;5176;16137
1706163960000;6807;4118;4680;15605
1706164080000;6970;4120;4668;15758
1706164200000;6958;4682;5533;17173
1706164320000;6723;4693;4718;16134
1706164440000;6424;4151;4227;14802
1706164560000;6411;4145;4104;14660
1706164680000;6196;4229;4077;14502
1706164800000;6443;4307;4067;14817
1706164920000;6577;4922;4421;15920
1706165040000;6568;4944;4534;16046
1706165160000;7005;4344;4589;15938
1706165280000;7325;4815;4588;16728
1706165400000;7735;5443;4541;17719
1706165520000;8795;6284;6305;21384
1706165640000;10026;10196;7755;27977
1706165760000;20566;17776;16721;55063
1706165880000;16180;16451;10908;43539
1706166000000;15078;20110;10088;45276
1706166120000;15325;16456;9207;40988
1706166240000;14830;17588;9364;41782
1706166360000;13638;17220;9511;40369
1706166480000;14391;17632;10248;42271
1706166600000;17587;17169;9565;44321
1706166720000;17993;19672;9644;47309
1706166840000;16355;19018;10633;46006
1706166960000;17836;18396;11323;47555
1706167080000;18493;19834;11537;49864
1706167200000;19106;20465;12781;52352
1706167320000;19478;21591;12251;53320
1706167440000;20730;20921;12895;54546
1706167560000;20607;20107;12996;53710
1706167680000;21434;20572;13199;55205
1706167800000;21903;22124;13329;57356
1706167920000;27076;21873;15221;64170
1706168040000;29275;21800;15402;66477
1706168160000;28100;20721;16411;65232
1706168280000;27222;20556;14538;62316
1706168400000;28129;25209;16231;69569
1706168520000;31100;24759;17399;73258
1706168640000;29797;25461;18661;73919
1706168760000;27913;24767;19273;71953
1706168880000;29257;27989;22637;79883
1706169000000;31330;26713;24180;82223
1706169120000;34064;26884;24846;85794
1706169240000;36961;29189;26426;92576
1706169360000;37599;28478;26585;92662
1706169480000;38516;27590;26493;92599
1706169600000;38024;28984;29299;96307
1706169720000;36187;27736;28807;92730
1706169840000;39497;27420;26499;93416
1706169960000;38972;30606;27197;96775
1706170080000;53643;44664;41780;140087
1706170200000;50289;43763;40711;134763
1706170320000;50961;43345;40079;134385
1706170440000;51393;45114;41056;137563
1706170560000;50296;44171;40480;134947
1706170680000;45631;41001;36707;123339
1706170800000;37480;32766;28347;98593
1706170920000;37396;31995;27396;96787
1706171040000;39546;33590;27624;100760
1706171160000;37154;32891;26158;96203
1706171280000;37801;32716;26558;97075
1706171400000;35705;30938;25549;92192
1706171520000;36909;32564;25830;95303
1706171640000;39630;34333;28825;102788
1706171760000;40784;35316;30526;106626
1706171880000;37601;35527;28000;101128
1706172000000;36539;34562;28129;99230
1706172120000;35957;34226;28852;99035
1706172240000;36033;34540;27277;97850
1706172360000;42713;41042;34106;117861
1706172480000;45340;41209;35818;122367
1706172600000;45826;43100;38456;127382
1706172720000;45397;43167;37784;126348
1706172840000;45630;43286;37332;126248
1706172960000;37762;34622;29104;101488
1706173080000;34886;31146;23284;89316
1706173200000;34907;31317;22788;89012
